,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3
,13/11/11,13/11/11,13/11/11,13/11/11,13/11/11,13/11/11,13/11/11,18/11/11,18/11/11,18/11/11,18/11/11,18/11/11,18/11/11,18/11/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12
Window Header & Subsills,8/11/11,8/11/11,8/11/11,8/11/11,8/11/11,8/11/11,8/11/11,12/11/11,12/11/11,12/11/11,12/11/11,12/11/11,12/11/11,12/11/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,10/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12
,13/11/11,13/11/11,13/11/11,13/11/11,13/11/11,13/11/11,13/11/11,18/11/11,18/11/11,18/11/11,18/11/11,18/11/11,18/11/11,18/11/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,16/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12
Window Frames & Glass,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,23/11/11,23/11/11,23/11/11,23/11/11,23/11/11,23/11/11,23/11/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12
,24/11/11,24/11/11,24/11/11,24/11/11,24/11/11,24/11/11,24/11/11,28/11/11,28/11/11,28/11/11,28/11/11,28/11/11,28/11/11,28/11/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12
Sheet Party Walls & Fire Rate,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,23/11/11,23/11/11,23/11/11,23/11/11,23/11/11,23/11/11,23/11/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,21/12/11,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12
,24/11/11,24/11/11,24/11/11,24/11/11,24/11/11,24/11/11,24/11/11,28/11/11,28/11/11,28/11/11,28/11/11,28/11/11,28/11/11,28/11/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,18/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,1/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12
External Brick,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12
,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12
CFC/ Soffits,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12
,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12
Install Balustrades,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,29/11/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,5/12/11,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12,13/02/12
,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,13/12/11,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12
Electrical Rough in,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12
,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12
Hydraulic Rough in,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12
,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12
Mechanical Ducts & Louvre,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,19/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,25/11/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12
,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,26/11/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,3/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12
Doors Frames & Noggings,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12
,12/12/11,12/12/11,12/12/11,12/12/11,12/12/11,12/12/11,12/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12
Ceiling Frame,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,6/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,11/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,17/12/11,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,16/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,20/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,30/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12
,12/12/11,12/12/11,12/12/11,12/12/11,12/12/11,12/12/11,12/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,31/01/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,6/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12
Insulation for Walls & Ceiling,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12
